"","r_name","aoi_name","values","date"
"22","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_02_2041_2070_norm","Dehesón El Encinar - C - 2",79.4,"02_2041"
"23","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_02_2041_2070_norm","Dehesón El Encinar - S - 7",76.4,"02_2041"
"24","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_02_2041_2070_norm","Dehesón El Encinar - C - 5",77.8,"02_2041"
"25","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_02_2041_2070_norm","Dehesón El Encinar - W - 4",78,"02_2041"
"26","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_02_2041_2070_norm","Dehesón El Encinar - Otro - 6",77.8,"02_2041"
"27","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_03_2041_2070_norm","Atoquedo",59.7,"03_2041"
"28","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_03_2041_2070_norm","La Caña",47.5,"03_2041"
"29","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_03_2041_2070_norm","La Ciervina",56.3,"03_2041"
"30","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_03_2041_2070_norm","Las Casillas",45.1,"03_2041"
"31","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_03_2041_2070_norm","La Villa",54.7,"03_2041"
"32","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_03_2041_2070_norm","Valdelacasa",59.5,"03_2041"
"33","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_03_2041_2070_norm","Dehesón El Encinar - S -3",58.7,"03_2041"
"34","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_03_2041_2070_norm","Dehesón El Encinar - W - 1",61.8,"03_2041"
"35","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_03_2041_2070_norm","Dehesón El Encinar - C - 2",58.9,"03_2041"
"36","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_03_2041_2070_norm","Dehesón El Encinar - S - 7",56.7,"03_2041"
"37","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_03_2041_2070_norm","Dehesón El Encinar - C - 5",57.7,"03_2041"
"38","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_03_2041_2070_norm","Dehesón El Encinar - W - 4",57.7,"03_2041"
"39","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_03_2041_2070_norm","Dehesón El Encinar - Otro - 6",57.7,"03_2041"
"40","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_04_2041_2070_norm","Atoquedo",97.6,"04_2041"
"41","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_04_2041_2070_norm","La Caña",79.9,"04_2041"
"42","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_04_2041_2070_norm","La Ciervina",91.4,"04_2041"
"43","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_04_2041_2070_norm","Las Casillas",75.4,"04_2041"
"44","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_04_2041_2070_norm","La Villa",85.6,"04_2041"
"45","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_04_2041_2070_norm","Valdelacasa",90.9,"04_2041"
"46","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_04_2041_2070_norm","Dehesón El Encinar - S -3",101,"04_2041"
"47","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_04_2041_2070_norm","Dehesón El Encinar - W - 1",106.1,"04_2041"
"48","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_04_2041_2070_norm","Dehesón El Encinar - C - 2",100.8,"04_2041"
"49","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_04_2041_2070_norm","Dehesón El Encinar - S - 7",97.7,"04_2041"
"50","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_04_2041_2070_norm","Dehesón El Encinar - C - 5",98.9,"04_2041"
"51","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_04_2041_2070_norm","Dehesón El Encinar - W - 4",98.8,"04_2041"
"52","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_04_2041_2070_norm","Dehesón El Encinar - Otro - 6",98.9,"04_2041"
"53","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_05_2041_2070_norm","Atoquedo",63.8,"05_2041"
"54","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_05_2041_2070_norm","La Caña",42.4,"05_2041"
"55","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_05_2041_2070_norm","La Ciervina",62.1,"05_2041"
"56","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_05_2041_2070_norm","Las Casillas",45.6,"05_2041"
"57","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_05_2041_2070_norm","La Villa",62.1,"05_2041"
"58","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_05_2041_2070_norm","Valdelacasa",60.9,"05_2041"
"59","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_05_2041_2070_norm","Dehesón El Encinar - S -3",54.6,"05_2041"
"60","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_05_2041_2070_norm","Dehesón El Encinar - W - 1",57.3,"05_2041"
"61","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_05_2041_2070_norm","Dehesón El Encinar - C - 2",54.6,"05_2041"
"62","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_05_2041_2070_norm","Dehesón El Encinar - S - 7",52.9,"05_2041"
"63","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_05_2041_2070_norm","Dehesón El Encinar - C - 5",53.6,"05_2041"
"64","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_05_2041_2070_norm","Dehesón El Encinar - W - 4",53.5,"05_2041"
"65","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_05_2041_2070_norm","Dehesón El Encinar - Otro - 6",53.6,"05_2041"
"66","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_06_2041_2070_norm","Atoquedo",26,"06_2041"
"67","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_06_2041_2070_norm","La Caña",19.5,"06_2041"
"68","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_06_2041_2070_norm","La Ciervina",25.5,"06_2041"
"69","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_06_2041_2070_norm","Las Casillas",19.3,"06_2041"
"70","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_06_2041_2070_norm","La Villa",23.7,"06_2041"
"71","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_06_2041_2070_norm","Valdelacasa",21.9,"06_2041"
"72","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_06_2041_2070_norm","Dehesón El Encinar - S -3",21.1,"06_2041"
"73","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_06_2041_2070_norm","Dehesón El Encinar - W - 1",22,"06_2041"
"74","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_06_2041_2070_norm","Dehesón El Encinar - C - 2",21,"06_2041"
"75","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_06_2041_2070_norm","Dehesón El Encinar - S - 7",20.6,"06_2041"
"76","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_06_2041_2070_norm","Dehesón El Encinar - C - 5",20.8,"06_2041"
"77","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_06_2041_2070_norm","Dehesón El Encinar - W - 4",20.7,"06_2041"
"78","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_06_2041_2070_norm","Dehesón El Encinar - Otro - 6",20.8,"06_2041"
"79","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_07_2041_2070_norm","Atoquedo",7.4,"07_2041"
"80","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_07_2041_2070_norm","La Caña",5,"07_2041"
"81","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_07_2041_2070_norm","La Ciervina",7.6,"07_2041"
"82","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_07_2041_2070_norm","Las Casillas",6.2,"07_2041"
"83","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_07_2041_2070_norm","La Villa",7.3,"07_2041"
"84","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_07_2041_2070_norm","Valdelacasa",6.3,"07_2041"
"85","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_07_2041_2070_norm","Dehesón El Encinar - S -3",6.8,"07_2041"
"86","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_07_2041_2070_norm","Dehesón El Encinar - W - 1",7.2,"07_2041"
"87","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_07_2041_2070_norm","Dehesón El Encinar - C - 2",6.7,"07_2041"
"88","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_07_2041_2070_norm","Dehesón El Encinar - S - 7",6.6,"07_2041"
"89","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_07_2041_2070_norm","Dehesón El Encinar - C - 5",6.6,"07_2041"
"90","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_07_2041_2070_norm","Dehesón El Encinar - W - 4",6.5,"07_2041"
"91","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_07_2041_2070_norm","Dehesón El Encinar - Otro - 6",6.6,"07_2041"
"92","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_08_2041_2070_norm","Atoquedo",8.2,"08_2041"
"93","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_08_2041_2070_norm","La Caña",5.6,"08_2041"
"94","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_08_2041_2070_norm","La Ciervina",7.2,"08_2041"
"95","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_08_2041_2070_norm","Las Casillas",5.5,"08_2041"
"96","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_08_2041_2070_norm","La Villa",6.5,"08_2041"
"97","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_08_2041_2070_norm","Valdelacasa",6.8,"08_2041"
"98","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_08_2041_2070_norm","Dehesón El Encinar - S -3",9,"08_2041"
"99","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_08_2041_2070_norm","Dehesón El Encinar - W - 1",9.2,"08_2041"
"100","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_08_2041_2070_norm","Dehesón El Encinar - C - 2",8.9,"08_2041"
"101","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_08_2041_2070_norm","Dehesón El Encinar - S - 7",8.8,"08_2041"
"102","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_08_2041_2070_norm","Dehesón El Encinar - C - 5",8.8,"08_2041"
"103","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_08_2041_2070_norm","Dehesón El Encinar - W - 4",8.8,"08_2041"
"104","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_08_2041_2070_norm","Dehesón El Encinar - Otro - 6",8.8,"08_2041"
"105","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_09_2041_2070_norm","Atoquedo",46.6,"09_2041"
"106","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_09_2041_2070_norm","La Caña",32.4,"09_2041"
"107","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_09_2041_2070_norm","La Ciervina",45.7,"09_2041"
"108","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_09_2041_2070_norm","Las Casillas",35.3,"09_2041"
"109","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_09_2041_2070_norm","La Villa",44.6,"09_2041"
"110","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_09_2041_2070_norm","Valdelacasa",44.8,"09_2041"
"111","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_09_2041_2070_norm","Dehesón El Encinar - S -3",39.5,"09_2041"
"112","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_09_2041_2070_norm","Dehesón El Encinar - W - 1",41.6,"09_2041"
"113","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_09_2041_2070_norm","Dehesón El Encinar - C - 2",39.8,"09_2041"
"114","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_09_2041_2070_norm","Dehesón El Encinar - S - 7",38.2,"09_2041"
"115","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_09_2041_2070_norm","Dehesón El Encinar - C - 5",38.9,"09_2041"
"116","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_09_2041_2070_norm","Dehesón El Encinar - W - 4",39,"09_2041"
"117","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_09_2041_2070_norm","Dehesón El Encinar - Otro - 6",38.9,"09_2041"
"118","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_10_2041_2070_norm","Atoquedo",89,"10_2041"
"119","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_10_2041_2070_norm","La Caña",62,"10_2041"
"120","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_10_2041_2070_norm","La Ciervina",84.5,"10_2041"
"121","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_10_2041_2070_norm","Las Casillas",67.7,"10_2041"
"122","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_10_2041_2070_norm","La Villa",89,"10_2041"
"123","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_10_2041_2070_norm","Valdelacasa",94.5,"10_2041"
"124","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_10_2041_2070_norm","Dehesón El Encinar - S -3",88.3,"10_2041"
"125","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_10_2041_2070_norm","Dehesón El Encinar - W - 1",92.8,"10_2041"
"126","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_10_2041_2070_norm","Dehesón El Encinar - C - 2",88.5,"10_2041"
"127","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_10_2041_2070_norm","Dehesón El Encinar - S - 7",85.3,"10_2041"
"128","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_10_2041_2070_norm","Dehesón El Encinar - C - 5",86.6,"10_2041"
"129","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_10_2041_2070_norm","Dehesón El Encinar - W - 4",86.6,"10_2041"
"130","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_10_2041_2070_norm","Dehesón El Encinar - Otro - 6",86.6,"10_2041"
"131","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_11_2041_2070_norm","Atoquedo",112.2,"11_2041"
"132","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_11_2041_2070_norm","La Caña",86.7,"11_2041"
"133","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_11_2041_2070_norm","La Ciervina",108.2,"11_2041"
"134","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_11_2041_2070_norm","Las Casillas",90.3,"11_2041"
"135","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_11_2041_2070_norm","La Villa",106.9,"11_2041"
"136","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_11_2041_2070_norm","Valdelacasa",114,"11_2041"
"137","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_11_2041_2070_norm","Dehesón El Encinar - S -3",111.9,"11_2041"
"138","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_11_2041_2070_norm","Dehesón El Encinar - W - 1",117.4,"11_2041"
"139","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_11_2041_2070_norm","Dehesón El Encinar - C - 2",111.9,"11_2041"
"140","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_11_2041_2070_norm","Dehesón El Encinar - S - 7",108.1,"11_2041"
"141","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_11_2041_2070_norm","Dehesón El Encinar - C - 5",109.6,"11_2041"
"142","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_11_2041_2070_norm","Dehesón El Encinar - W - 4",109.6,"11_2041"
"143","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_11_2041_2070_norm","Dehesón El Encinar - Otro - 6",109.6,"11_2041"
"144","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_12_2041_2070_norm","Atoquedo",107.4,"12_2041"
"145","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_12_2041_2070_norm","La Caña",79.2,"12_2041"
"146","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_12_2041_2070_norm","La Ciervina",98.5,"12_2041"
"147","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_12_2041_2070_norm","Las Casillas",78.5,"12_2041"
"148","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_12_2041_2070_norm","La Villa",102.5,"12_2041"
"149","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_12_2041_2070_norm","Valdelacasa",113.8,"12_2041"
"150","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_12_2041_2070_norm","Dehesón El Encinar - S -3",121.8,"12_2041"
"151","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_12_2041_2070_norm","Dehesón El Encinar - W - 1",128.3,"12_2041"
"152","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_12_2041_2070_norm","Dehesón El Encinar - C - 2",122,"12_2041"
"153","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_12_2041_2070_norm","Dehesón El Encinar - S - 7",117.4,"12_2041"
"154","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_12_2041_2070_norm","Dehesón El Encinar - C - 5",119.2,"12_2041"
"155","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_12_2041_2070_norm","Dehesón El Encinar - W - 4",119.2,"12_2041"
"156","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_12_2041_2070_norm","Dehesón El Encinar - Otro - 6",119.2,"12_2041"
"157","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_01_2041_2070_norm","Atoquedo",8.05000000000001,"01_2041"
"158","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_01_2041_2070_norm","La Caña",7.85000000000002,"01_2041"
"159","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_01_2041_2070_norm","La Ciervina",8.15000000000003,"01_2041"
"160","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_01_2041_2070_norm","Las Casillas",8.55000000000001,"01_2041"
"161","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_01_2041_2070_norm","La Villa",8.25000000000006,"01_2041"
"162","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_01_2041_2070_norm","Valdelacasa",8.35000000000002,"01_2041"
"163","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_01_2041_2070_norm","Dehesón El Encinar - S -3",7.85000000000002,"01_2041"
"164","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_01_2041_2070_norm","Dehesón El Encinar - W - 1",7.85000000000002,"01_2041"
"165","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_01_2041_2070_norm","Dehesón El Encinar - C - 2",7.95000000000005,"01_2041"
"166","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_01_2041_2070_norm","Dehesón El Encinar - S - 7",7.85000000000002,"01_2041"
"167","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_01_2041_2070_norm","Dehesón El Encinar - C - 5",7.95000000000005,"01_2041"
"168","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_01_2041_2070_norm","Dehesón El Encinar - W - 4",7.95000000000005,"01_2041"
"169","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_01_2041_2070_norm","Dehesón El Encinar - Otro - 6",7.95000000000005,"01_2041"
"170","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_02_2041_2070_norm","Atoquedo",10.35,"02_2041"
"171","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_02_2041_2070_norm","La Caña",10.05,"02_2041"
"172","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_02_2041_2070_norm","La Ciervina",10.45,"02_2041"
"173","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_02_2041_2070_norm","Las Casillas",10.7500000000001,"02_2041"
"174","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_02_2041_2070_norm","La Villa",10.55,"02_2041"
"175","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_02_2041_2070_norm","Valdelacasa",10.7500000000001,"02_2041"
"176","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_02_2041_2070_norm","Dehesón El Encinar - S -3",10.2500000000001,"02_2041"
"177","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_02_2041_2070_norm","Dehesón El Encinar - W - 1",10.2500000000001,"02_2041"
"178","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_02_2041_2070_norm","Dehesón El Encinar - C - 2",10.35,"02_2041"
"179","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_02_2041_2070_norm","Dehesón El Encinar - S - 7",10.2500000000001,"02_2041"
